#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;$W = white text;;;;;;;;;;X
##;$Y = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
lifting_of_embargo_action_cze;チェコスロバキアの禁輸と技術輸出禁止を解除;Lifting of embargo on Czechoslovakia;;;;;;;;;X
lifting_of_embargo_action_ddr;ドイツ民主共和国の禁輸と技術輸出禁止を解除;Lifting of embargo on DDR;;;;;;;;;X
lifting_of_embargo_action_den;デンマークの禁輸と技術輸出禁止を解除;Lifting of embargo on Denmark;;;;;;;;;X
lifting_of_embargo_action_dfr;ドイツ連邦共和国の禁輸と技術輸出禁止を解除;Lifting of embargo on FRG;;;;;;;;;X
lifting_of_embargo_action_eaf;東アフリカ連合の禁輸と技術輸出禁止を解除;Lifting of embargo on East African Union;;;;;;;;;X
lifting_of_embargo_action_ecu;エクアドルの禁輸と技術輸出禁止を解除;Lifting of embargo on Ecuador;;;;;;;;;X
lifting_of_embargo_action_egy;エジプトの禁輸と技術輸出禁止を解除;Lifting of embargo on Egypt;;;;;;;;;X
lifting_of_embargo_action_eng;イギリスの禁輸と技術輸出禁止を解除;Lifting of embargo on UK;;;;;;;;;X
lifting_of_embargo_action_eqa;赤道アフリカの禁輸と技術輸出禁止を解除;Lifting of embargo on Equatorial Africa;;;;;;;;;X
lifting_of_embargo_action_est;エストニアの禁輸と技術輸出禁止を解除;Lifting of embargo on Estonia;;;;;;;;;X
lifting_of_embargo_action_eth;エチオピアの禁輸と技術輸出禁止を解除;Lifting of embargo on Ethiopia;;;;;;;;;X
lifting_of_embargo_action_eus;エウスカディの禁輸と技術輸出禁止を解除;Lifting of embargo on Euskadi;;;;;;;;;X
lifting_of_embargo_action_fin;フィンランドの禁輸と技術輸出禁止を解除;Lifting of embargo on Finland;;;;;;;;;X
lifting_of_embargo_action_fla;フランドルの禁輸と技術輸出禁止を解除;Lifting of embargo on Flanders;;;;;;;;;X
lifting_of_embargo_action_fra;フランスの禁輸と技術輸出禁止を解除;Lifting of embargo on France;;;;;;;;;X
lifting_of_embargo_action_gab;ガボンの禁輸と技術輸出禁止を解除;Lifting of embargo on Gabon;;;;;;;;;X
lifting_of_embargo_action_geo;グルジアの禁輸と技術輸出禁止を解除;Lifting of embargo on Georgia;;;;;;;;;X
lifting_of_embargo_action_ger;ドイツの禁輸と技術輸出禁止を解除;Lifting of embargo on Germany;;;;;;;;;X
lifting_of_embargo_action_gld;ガーナの禁輸と技術輸出禁止を解除;Lifting of embargo on Ghana;;;;;;;;;X
lifting_of_embargo_action_gre;ギリシャの禁輸と技術輸出禁止を解除;Lifting of embargo on Greece;;;;;;;;;X
lifting_of_embargo_action_gua;グアテマラの禁輸と技術輸出禁止を解除;Lifting of embargo on Guatemala;;;;;;;;;X
lifting_of_embargo_action_gui;ギニアの禁輸と技術輸出禁止を解除;Lifting of embargo on Guinea;;;;;;;;;X
lifting_of_embargo_action_guy;ガイアナの禁輸と技術輸出禁止を解除;Lifting of embargo on Guyana;;;;;;;;;X
lifting_of_embargo_action_hol;オランダの禁輸と技術輸出禁止を解除;Lifting of embargo on Netherlands;;;;;;;;;X
lifting_of_embargo_action_hon;ホンジュラスの禁輸と技術輸出禁止を解除;Lifting of embargo on Honduras;;;;;;;;;X
lifting_of_embargo_action_hun;ハンガリーの禁輸と技術輸出禁止を解除;Lifting of embargo on Hungary;;;;;;;;;X
lifting_of_embargo_action_icl;アイスランドの禁輸と技術輸出禁止を解除;Lifting of embargo on Iceland;;;;;;;;;X
lifting_of_embargo_action_idc;インドシナの禁輸と技術輸出禁止を解除;Lifting of embargo on Indochina;;;;;;;;;X
lifting_of_embargo_action_ind;インドの禁輸と技術輸出禁止を解除;Lifting of embargo on India;;;;;;;;;X
lifting_of_embargo_action_ino;インドネシアの禁輸と技術輸出禁止を解除;Lifting of embargo on Indonesia;;;;;;;;;X
lifting_of_embargo_action_ire;アイルランドの禁輸と技術輸出禁止を解除;Lifting of embargo on Ireland;;;;;;;;;X
lifting_of_embargo_action_irq;イラクの禁輸と技術輸出禁止を解除;Lifting of embargo on Iraq;;;;;;;;;X
lifting_of_embargo_action_isr;イスラエルの禁輸と技術輸出禁止を解除;Lifting of embargo on Israel;;;;;;;;;X
lifting_of_embargo_action_ita;イタリアの禁輸と技術輸出禁止を解除;Lifting of embargo on Italy;;;;;;;;;X
lifting_of_embargo_action_jap;日本の禁輸と技術輸出禁止を解除;Lifting of embargo on Japan;;;;;;;;;X
lifting_of_embargo_action_jor;ヨルダンの禁輸と技術輸出禁止を解除;Lifting of embargo on Jordan;;;;;;;;;X
lifting_of_embargo_action_kaz;カザフスタンの禁輸と技術輸出禁止を解除;Lifting of embargo on Kazakhstan;;;;;;;;;X
lifting_of_embargo_action_kor;韓国の禁輸と技術輸出禁止を解除;Lifting of embargo on Korea;;;;;;;;;X
lifting_of_embargo_action_kur;クルディスタンの禁輸と技術輸出禁止を解除;Lifting of embargo on Kurdistan;;;;;;;;;X
lifting_of_embargo_action_kyg;キルギスタンの禁輸と技術輸出禁止を解除;Lifting of embargo on Kyrgyzstan;;;;;;;;;X
lifting_of_embargo_action_lao;ラオスの禁輸と技術輸出禁止を解除;Lifting of embargo on Laos;;;;;;;;;X
lifting_of_embargo_action_lat;ラトビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Latvia;;;;;;;;;X
lifting_of_embargo_action_lby;リビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Libya;;;;;;;;;X
lifting_of_embargo_action_leb;レバノンの禁輸と技術輸出禁止を解除;Lifting of embargo on Lebanon;;;;;;;;;X
lifting_of_embargo_action_lit;リトアニアの禁輸と技術輸出禁止を解除;Lifting of embargo on Lithuania;;;;;;;;;X
lifting_of_embargo_action_lux;ルクセンブルクの禁輸と技術輸出禁止を解除;Lifting of embargo on Luxemburg;;;;;;;;;X
lifting_of_embargo_action_mad;マダガスカルの禁輸と技術輸出禁止を解除;Lifting of embargo on Madagascar;;;;;;;;;X
lifting_of_embargo_action_mal;マリ連邦の禁輸と技術輸出禁止を解除;Lifting of embargo on Union of Mali;;;;;;;;;X
lifting_of_embargo_action_man;満州国の禁輸と技術輸出禁止を解除;Lifting of embargo on Manchukuo;;;;;;;;;X
lifting_of_embargo_action_men;蒙古国の禁輸と技術輸出禁止を解除;Lifting of embargo on Mengkukuo;;;;;;;;;X
lifting_of_embargo_action_mex;メキシコの禁輸と技術輸出禁止を解除;Lifting of embargo on Mexico;;;;;;;;;X
lifting_of_embargo_action_mly;マレーシアの禁輸と技術輸出禁止を解除;Lifting of embargo on Malaysia;;;;;;;;;X
lifting_of_embargo_action_mon;モンゴルの禁輸と技術輸出禁止を解除;Lifting of embargo on Mongolia;;;;;;;;;X
lifting_of_embargo_action_mor;モロッコの禁輸と技術輸出禁止を解除;Lifting of embargo on Morocco;;;;;;;;;X
lifting_of_embargo_action_moz;モザンビークの禁輸と技術輸出禁止を解除;Lifting of embargo on Mozambique;;;;;;;;;X
lifting_of_embargo_action_mtn;モンテネグロの禁輸と技術輸出禁止を解除;Lifting of embargo on Montenegro;;;;;;;;;X
lifting_of_embargo_action_nam;ナミビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Namibia;;;;;;;;;X
lifting_of_embargo_action_nic;ニカラグアの禁輸と技術輸出禁止を解除;Lifting of embargo on Nicaragua;;;;;;;;;X
lifting_of_embargo_action_nig;ナイジェリアの禁輸と技術輸出禁止を解除;Lifting of embargo on Nigeria;;;;;;;;;X
lifting_of_embargo_action_nor;ノルウェーの禁輸と技術輸出禁止を解除;Lifting of embargo on Norway;;;;;;;;;X
lifting_of_embargo_action_nzl;ニュージーランドの禁輸と技術輸出禁止を解除;Lifting of embargo on New Zealand;;;;;;;;;X
lifting_of_embargo_action_omn;オマーンの禁輸と技術輸出禁止を解除;Lifting of embargo on Oman;;;;;;;;;X
lifting_of_embargo_action_ott;オスマントルコの禁輸と技術輸出禁止を解除;Lifting of embargo on Ottoman Empire;;;;;;;;;X
lifting_of_embargo_action_pak;パキスタンの禁輸と技術輸出禁止を解除;Lifting of embargo on Pakistan;;;;;;;;;X
lifting_of_embargo_action_pal;パレスチナの禁輸と技術輸出禁止を解除;Lifting of embargo on Palestine;;;;;;;;;X
lifting_of_embargo_action_pan;パナマの禁輸と技術輸出禁止を解除;Lifting of embargo on Panama;;;;;;;;;X
lifting_of_embargo_action_par;パラグアイの禁輸と技術輸出禁止を解除;Lifting of embargo on Paraguay;;;;;;;;;X
lifting_of_embargo_action_per;ペルシャの禁輸と技術輸出禁止を解除;Lifting of embargo on Persia;;;;;;;;;X
lifting_of_embargo_action_phi;フィリピンの禁輸と技術輸出禁止を解除;Lifting of embargo on Philippines;;;;;;;;;X
lifting_of_embargo_action_pol;ポーランドの禁輸と技術輸出禁止を解除;Lifting of embargo on Poland;;;;;;;;;X
lifting_of_embargo_action_por;ポルトガルの禁輸と技術輸出禁止を解除;Lifting of embargo on Portugal;;;;;;;;;X
lifting_of_embargo_action_pri;プリモルスクの禁輸と技術輸出禁止を解除;Lifting of embargo on Primorsk;;;;;;;;;X
lifting_of_embargo_action_prk;朝鮮人民共和国の禁輸と技術輸出禁止を解除;Lifting of embargo on People's Republic of Korea;;;;;;;;;X
lifting_of_embargo_action_pru;ペルーの禁輸と技術輸出禁止を解除;Lifting of embargo on Peru;;;;;;;;;X
lifting_of_embargo_action_que;ケベックの禁輸と技術輸出禁止を解除;Lifting of embargo on Quebec;;;;;;;;;X
lifting_of_embargo_action_rho;ローデシア・ニヤサランド連邦の禁輸と技術輸出禁止を解除;Lifting of embargo on Rhodesia and Nyasaland;;;;;;;;;X
lifting_of_embargo_action_rom;ルーマニアの禁輸と技術輸出禁止を解除;Lifting of embargo on Romania;;;;;;;;;X
lifting_of_embargo_action_rsi;イタリア社会共和国の禁輸と技術輸出禁止を解除;Lifting of embargo on Italian Social Republic;;;;;;;;;X
lifting_of_embargo_action_rus;ロシアの禁輸と技術輸出禁止を解除;Lifting of embargo on Russia;;;;;;;;;X
lifting_of_embargo_action_saf;南アフリカの禁輸と技術輸出禁止を解除;Lifting of embargo on South Africa;;;;;;;;;X
lifting_of_embargo_action_sal;エルサルバドルの禁輸と技術輸出禁止を解除;Lifting of embargo on El Salvador;;;;;;;;;X
lifting_of_embargo_action_sar;サラワクの禁輸と技術輸出禁止を解除;Lifting of embargo on Sarawak;;;;;;;;;X
lifting_of_embargo_action_sau;サウジアラビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Saudi Arabia;;;;;;;;;X
lifting_of_embargo_action_sca;スカンジナビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Scandinavia;;;;;;;;;X
lifting_of_embargo_action_sch;スイスの禁輸と技術輸出禁止を解除;Lifting of embargo on Switzerland;;;;;;;;;X
lifting_of_embargo_action_sco;スコットランドの禁輸と技術輸出禁止を解除;Lifting of embargo on Scotland;;;;;;;;;X
lifting_of_embargo_action_ser;セルビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Serbia;;;;;;;;;X
lifting_of_embargo_action_sia;シャムの禁輸と技術輸出禁止を解除;Lifting of embargo on Siam;;;;;;;;;X
lifting_of_embargo_action_sib;シベリアの禁輸と技術輸出禁止を解除;Lifting of embargo on Siberia;;;;;;;;;X
lifting_of_embargo_action_sie;シエラレオネの禁輸と技術輸出禁止を解除;Lifting of embargo on Sierra Leone;;;;;;;;;X
lifting_of_embargo_action_sik;新彊軍閥の禁輸と技術輸出禁止を解除;Lifting of embargo on Sinkiang;;;;;;;;;X
lifting_of_embargo_action_slo;スロバキアの禁輸と技術輸出禁止を解除;Lifting of embargo on Slovakia;;;;;;;;;X
lifting_of_embargo_action_slv;スロベニアの禁輸と技術輸出禁止を解除;Lifting of embargo on Slovenia;;;;;;;;;X
lifting_of_embargo_action_som;ソマリアの禁輸と技術輸出禁止を解除;Lifting of embargo on Somalia;;;;;;;;;X
lifting_of_embargo_action_sov;ソビエト連邦の禁輸と技術輸出禁止を解除;Lifting of embargo on Soviet Union;;;;;;;;;X
lifting_of_embargo_action_spa;スペイン（国粋派）の禁輸と技術輸出禁止を解除;Lifting of embargo on Nationalist Spain;;;;;;;;;X
lifting_of_embargo_action_spr;スペイン（共和派）の禁輸と技術輸出禁止を解除;Lifting of embargo on Republican Spain;;;;;;;;;X
lifting_of_embargo_action_sud;スーダンの禁輸と技術輸出禁止を解除;Lifting of embargo on Sudan;;;;;;;;;X
lifting_of_embargo_action_swe;スウェーデンの禁輸と技術輸出禁止を解除;Lifting of embargo on Sweden;;;;;;;;;X
lifting_of_embargo_action_syr;シリアの禁輸と技術輸出禁止を解除;Lifting of embargo on Syria;;;;;;;;;X
lifting_of_embargo_action_taj;タジキスタンの禁輸と技術輸出禁止を解除;Lifting of embargo on Tajikistan;;;;;;;;;X
lifting_of_embargo_action_tan;タンヌ・トゥヴァの禁輸と技術輸出禁止を解除;Lifting of embargo on Tannu Tuva;;;;;;;;;X
lifting_of_embargo_action_tex;テキサスの禁輸と技術輸出禁止を解除;Lifting of embargo on Texas;;;;;;;;;X
lifting_of_embargo_action_tra;トランスウラル共和国の禁輸と技術輸出禁止を解除;Lifting of embargo on Transural Republic;;;;;;;;;X
lifting_of_embargo_action_trk;トルクメニスタンの禁輸と技術輸出禁止を解除;Lifting of embargo on Turkmenistan;;;;;;;;;X
lifting_of_embargo_action_tun;チュニジアの禁輸と技術輸出禁止を解除;Lifting of embargo on Tunisia;;;;;;;;;X
lifting_of_embargo_action_tur;トルコの禁輸と技術輸出禁止を解除;Lifting of embargo on Turkey;;;;;;;;;X
lifting_of_embargo_action_ukr;ウクライナの禁輸と技術輸出禁止を解除;Lifting of embargo on Ukraine;;;;;;;;;X
lifting_of_embargo_action_uru;ウルグアイの禁輸と技術輸出禁止を解除;Lifting of embargo on Uruguay;;;;;;;;;X
lifting_of_embargo_action_usa;アメリカ合衆国の禁輸と技術輸出禁止を解除;Lifting of embargo on USA;;;;;;;;;X
lifting_of_embargo_action_uzb;ウズベキスタンの禁輸と技術輸出禁止を解除;Lifting of embargo on Uzbekistan;;;;;;;;;X
lifting_of_embargo_action_ven;ベネズエラの禁輸と技術輸出禁止を解除;Lifting of embargo on Venezuela;;;;;;;;;X
lifting_of_embargo_action_vie;ベトナム国の禁輸と技術輸出禁止を解除;Lifting of embargo on Nationalist Vietnam;;;;;;;;;X
lifting_of_embargo_action_wll;ワロンの禁輸と技術輸出禁止を解除;Lifting of embargo on Wallonia;;;;;;;;;X
lifting_of_embargo_action_yem;イエメンの禁輸と技術輸出禁止を解除;Lifting of embargo on Yemen;;;;;;;;;X
lifting_of_embargo_action_yug;ユーゴスラビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Yugoslavia;;;;;;;;;X
lifting_of_embargo_action_u01;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u02;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u03;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u04;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u08;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u09;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u10;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u11;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u12;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u13;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u14;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u15;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u16;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u17;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u18;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u19;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u20;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u21;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u22;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u26;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u27;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u28;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u29;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u30;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u31;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u32;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u33;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u34;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u35;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u40;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u41;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u42;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u43;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u44;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u45;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u46;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u47;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u48;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u49;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u50;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u51;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u52;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u53;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u54;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u55;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u56;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u67;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_u69;ユーザー定義用の禁輸と技術輸出禁止を解除;Lifting of embargo on User Defined;;;;;;;;;X
lifting_of_embargo_action_utc;コサック連邦の禁輸と技術輸出禁止を解除;Lifting of embargo on The Cossacks;;;;;;;;;X
lifting_of_embargo_action_uer;ロシア帝国の禁輸と技術輸出禁止を解除;Lifting of embargo on Empire of Russia;;;;;;;;;X
lifting_of_embargo_action_upe;ペルシャ共和国の禁輸と技術輸出禁止を解除;Lifting of embargo on Republic of Persia;;;;;;;;;X
lifting_of_embargo_action_u70;ウガンダの禁輸と技術輸出禁止を解除;Lifting of embargo on Uganda;;;;;;;;;X
lifting_of_embargo_action_u71;北アイルランドの禁輸と技術輸出禁止を解除;Lifting of embargo on Northern Ireland;;;;;;;;;X
lifting_of_embargo_action_u72;ベトナム民主共和国の禁輸と技術輸出禁止を解除;Lifting of embargo on Communist Vietnam;;;;;;;;;X
lifting_of_embargo_action_u73;イングランドの禁輸と技術輸出禁止を解除;Lifting of embargo on England;;;;;;;;;X
lifting_of_embargo_action_u74;北中国の禁輸と技術輸出禁止を解除;Lifting of embargo on Northern China;;;;;;;;;X
lifting_of_embargo_action_u75;シンガポールの禁輸と技術輸出禁止を解除;Lifting of embargo on Singapore;;;;;;;;;X
lifting_of_embargo_action_u76;ウェールズの禁輸と技術輸出禁止を解除;Lifting of embargo on Wales;;;;;;;;;X
lifting_of_embargo_action_u77;グランコロンビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Greater Colombia;;;;;;;;;X
lifting_of_embargo_action_u78;中央アメリカの禁輸と技術輸出禁止を解除;Lifting of embargo on Central America;;;;;;;;;X
lifting_of_embargo_action_u79;西インド諸島の禁輸と技術輸出禁止を解除;Lifting of embargo on West Indies;;;;;;;;;X
lifting_of_embargo_action_u80;カシミールの禁輸と技術輸出禁止を解除;Lifting of embargo on Kashmir;;;;;;;;;X
lifting_of_embargo_action_u81;オートボルタの禁輸と技術輸出禁止を解除;Lifting of embargo on Upper Volta;;;;;;;;;X
lifting_of_embargo_action_u82;中央アフリカの禁輸と技術輸出禁止を解除;Lifting of embargo on Central Africa;;;;;;;;;X
lifting_of_embargo_action_u83;セイロンの禁輸と技術輸出禁止を解除;Lifting of embargo on Ceylon;;;;;;;;;X
lifting_of_embargo_action_u84;チャドの禁輸と技術輸出禁止を解除;Lifting of embargo on Chad;;;;;;;;;X
lifting_of_embargo_action_u85;コンゴ＝ブラザヴィルの禁輸と技術輸出禁止を解除;Lifting of embargo on Congo-Brazzaville;;;;;;;;;X
lifting_of_embargo_action_u86;ガンビアの禁輸と技術輸出禁止を解除;Lifting of embargo on Gambia;;;;;;;;;X
lifting_of_embargo_action_u87;中華民国南京国民政府の禁輸と技術輸出禁止を解除;Lifting of embargo on China-Nanking;;;;;;;;;X
lifting_of_embargo_action_u88;コートジボワールの禁輸と技術輸出禁止を解除;Lifting of embargo on Ivory Coast;;;;;;;;;X
lifting_of_embargo_action_u89;ジャマイカの禁輸と技術輸出禁止を解除;Lifting of embargo on Jamaica;;;;;;;;;X
lifting_of_embargo_action_u90;ケニアの禁輸と技術輸出禁止を解除;Lifting of embargo on Kenya;;;;;;;;;X
lifting_of_embargo_action_u91;クウェートの禁輸と技術輸出禁止を解除;Lifting of embargo on Kuwait;;;;;;;;;X
lifting_of_embargo_action_u92;マルタの禁輸と技術輸出禁止を解除;Lifting of embargo on Malta;;;;;;;;;X
lifting_of_embargo_action_u93;モーリタニアの禁輸と技術輸出禁止を解除;Lifting of embargo on Mauritania;;;;;;;;;X
lifting_of_embargo_action_u94;ニジェールの禁輸と技術輸出禁止を解除;Lifting of embargo on Niger;;;;;;;;;X
lifting_of_embargo_action_u95;ルワンダの禁輸と技術輸出禁止を解除;Lifting of embargo on Rwanda;;;;;;;;;X
lifting_of_embargo_action_u96;セネガルの禁輸と技術輸出禁止を解除;Lifting of embargo on Senegal;;;;;;;;;X
